,CARRIER,CARRIER_NAME,CNAME
1420,SBA,Saber Aviation Inc. (1960 - 2002),Saber Aviation Inc.   
1421,SBN,Suburban Airlines (1960 - 2002),Suburban Airlines   
1422,SBQ,Skyjet S.A. (1994 - 2000),Skyjet S.A.   
1423,SCN,Scott Aviation (1990 - 2002),Scott Aviation   
1424,SCO,Seaco Airlines Inc. (1960 - 2002),Seaco Airlines Inc.   
1425,SCT,Skyline Airlines (1960 - 2002),Skyline Airlines   
1426,SCY,South Coast Airways (1960 - 2002),South Coast Airways   
1427,SDQ,St. Lucia Airways Limited (1984 - 1989),St. Lucia Airways Limited   
1428,SE,XL Airways France (2009 - ),XL Airways France   
1429,SE,Das Air Cargo (1990 - 1991),Das Air Cargo   
1430,SEA,SkyWest Airlines Inc. (1960 - 2002),SkyWest Airlines Inc.   
1431,SEB,Seaborne Aviation (1996 - ),Seaborne Aviation   
1432,SEG,Seagull Air Service (1988 - 1990),Seagull Air Service   
1433,SEM,Semo Aviation Inc. (1960 - 2002),Semo Aviation Inc.   
1434,SEP,Southern Express Airways (1985 - 2002),Southern Express Airways   
1435,SEQ,Sky Service F.B.O. (1994 - 2007),Sky Service F.B.O.   
1436,SER,Service Aviation Inc. (1982 - 2002),Service Aviation Inc.   
1437,SFI,Stahmannfarms Inc. (1960 - 2002),Stahmannfarms Inc.   
1438,SFO,Sfo Helicopter Airlines Inc. (1960 - 2002),Sfo Helicopter Airlines Inc.   
1439,SFQ,Pacific International Airlines Inc. (1996 - 1996),Pacific International Airlines Inc.   
1440,SFQ,Sportsflight Airways Inc. (1994 - 1996),Sportsflight Airways Inc.   
1441,SFQ,Southern Frontier Air Trans (1981 - 1989),Southern Frontier Air Trans   
1442,SFS,Sierra Flite Service Inc. (1960 - 2002),Sierra Flite Service Inc.   
1443,SG,Jetsgo (2002 - 2004),Jetsgo   
1444,SH,Servicio Aereo De Honduras (1981 - 1993),Servicio Aereo De Honduras   
1445,SHA,Shuttle America Corp. (1998 - 2005),Shuttle America Corp.   
1446,SHS,Shasta Air Inc. (1960 - 2002),Shasta Air Inc.   
1447,SHV,Shavano Air Inc. (1960 - 2002),Shavano Air Inc.   
1448,SI,Jet America Airlines Inc. (1981 - 1987),Jet America Airlines Inc.   
1449,SI,Sierra Pacific Airlines (1992 - ),Sierra Pacific Airlines   
1450,SIA,Silver State Airlines (1960 - 2002),Silver State Airlines   
1451,SIM,Simmons Airlines (1960 - 1991),Simmons Airlines   
