,CARRIER,CARRIER_NAME,CNAME
0,16,PSA Airlines Inc. (2004 - 2015),PSA Airlines Inc.   
1,17,Piedmont Airlines (2005 - 2015),Piedmont Airlines   
2,37,Zeal 320 (2006 - ),Zeal    
3,02Q,Titan Airways (2006 - ),Titan Airways   
4,04Q,Tradewind Aviation (2006 - ),Tradewind Aviation   
5,05Q,"Comlux Aviation, AG (2006 - 2012)","Comlux Aviation, AG   "
6,06Q,Master Top Linhas Aereas Ltd. (2007 - ),Master Top Linhas Aereas Ltd.   
7,07Q,Flair Airlines Ltd. (2007 - ),Flair Airlines Ltd.   
8,09Q,"Swift Air, LLC (2006 - )","Swift Air, LLC   "
9,0BQ,DCA (2007 - ),DCA   
10,0CQ,ACM AIR CHARTER GmbH (2007 - ),ACM AIR CHARTER GmbH   
11,0FQ,"Maine Aviation Aircraft Charter, LLC (2017 - )","Maine Aviation Aircraft Charter, LLC   "
12,0GQ,"Inter Island Airways, d/b/a Inter Island Air (2007 - 2016)","Inter Island Airways, dba Inter Island Air   "
13,0HQ,Polar Airlines de Mexico d/b/a Nova Air (2007 - ),Polar Airlines de Mexico dba Nova Air   
14,0IQ,Lynx Aviation d/b/a Frontier Airlines (2007 - 2007),Lynx Aviation dba Frontier Airlines   
15,0J,JetClub AG (2007 - ),JetClub AG   
16,0JQ,Vision Airlines (2008 - 2015),Vision Airlines   
17,0KQ,"Mokulele Flight Services, Inc. (2006 - 2012)","Mokulele Flight Services, Inc.   "
18,0LQ,"Metropix UK, LLP. (2007 - )","Metropix UK, LLP.   "
19,0MQ,"Multi-Aero, Inc. d/b/a Air Choice One (2008 - )","MultiAero, Inc. dba Air Choice One   "
20,0OQ,Open Skies (2008 - 2009),Open Skies   
21,0Q,Flying Service N.V. (2007 - ),Flying Service N.V.   
22,0QQ,TAG Aviation (UK) Ltd. (2006 - ),TAG Aviation UK Ltd.   
23,0RQ,TAG Aviation Espana S.L. (2006 - ),TAG Aviation Espana S.L.   
24,0TQ,"Corporatejets, XXI (2008 - 2013)","Corporatejets, XXI   "
25,0UQ,"Comlux Malta, Ltd. (2009 - )","Comlux Malta, Ltd.   "
26,0VQ,Ocean Sky (UK) Limited (2009 - ),Ocean Sky UK Limited   
27,0WQ,Avjet Corporation (2009 - ),Avjet Corporation   
28,0YQ,Comlux Malta Ltd. (2009 - ),Comlux Malta Ltd.   
29,0Z,Island Air Service (2005 - 2007),Island Air Service   
30,0ZQ,Air Excursions LLC (2009 - 2009),Air Excursions LLC   
31,10Q,Swiss Air Ambulance (2010 - ),Swiss Air Ambulance   
32,12Q,Unijet (2010 - ),Unijet   
33,13Q,Chartright Air Inc. (2010 - ),Chartright Air Inc.   
34,14Q,London Air Services Limited (2010 - ),London Air Services Limited   
35,15Q,Air Alsie A/S (2010 - ),Air Alsie AS   
36,17Q,Albinati Aeronautics SA (2010 - ),Albinati Aeronautics SA   
37,1AQ,"Charter Air Transport, Inc. (2010 - 2015)","Charter Air Transport, Inc.   "
38,1AQ,Via Airlines d/b/a Charter Air Transport (2015 - ),Via Airlines dba Charter Air Transport   
39,1BQ,"Dynamic Airways, LLC (2010 - )","Dynamic Airways, LLC   "
40,1DQ,Island Airlines LLC (2010 - ),Island Airlines LLC   
41,1EQ,"KaiserAir, Inc. (2011 - )","KaiserAir, Inc.   "
42,1FQ,Alsek Air (2011 - 2012),Alsek Air   
43,1HQ,International Jet Management GmbH (2011 - ),International Jet Management GmbH   
44,1I,Sky Trek International Airlines (1997 - 2000),Sky Trek International Airlines   
45,1IQ,Jet link AG (2011 - ),Jet link AG   
46,1JQ,Exec Direct Aviation Services Limited (2011 - ),Exec Direct Aviation Services Limited   
47,1LQ,Bertelsmann Aviation GmbH (2012 - ),Bertelsmann Aviation GmbH   
48,1MQ,Twin Cities Air Service LLC (2012 - 2012),Twin Cities Air Service LLC   
49,1NQ,JSC The 224th Flight Unit State Airlines (2012 - ),JSC The th Flight Unit State Airlines   
50,1PQ,Makani Kai Air Charters (2011 - ),Makani Kai Air Charters   
51,1QQ,City Wings Inc dba Seaflight (2012 - ),City Wings Inc dba Seaflight   
52,1RQ,Sun Air Express LLC dba Sun Air International (2012 - ),Sun Air Express LLC dba Sun Air International   
53,1SQ,Star Marianas Air Inc. (2014 - ),Star Marianas Air Inc.   
54,1TQ,Rhoades Aviation dba Transair (2013 - ),Rhoades Aviation dba Transair   
55,1UQ,Gainjet Aviation SA (2013 - ),Gainjet Aviation SA   
56,1VQ,Scott Air LLC dba Island Air Express (2013 - 2015),Scott Air LLC dba Island Air Express   
57,1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle (2014 - ),Ultimate JetCharters LLC dba Ultimate Air Shuttle   
58,1XQ,Dassault Falcon Service (2014 - ),Dassault Falcon Service   
59,1YQ,"Air Charter, Inc d/b/a Air Flamenco (2012 - )","Air Charter, Inc dba Air Flamenco   "
60,1ZQ,Comlux Aruba NV (2014 - ),Comlux Aruba NV   
61,20Q,Orange Air (2014 - ),Orange Air   
62,21Q,Corporate Flight Management Inc.d/b/a Crystal Luxury Air (2016 - 2016),Corporate Flight Management Inc.dba Crystal Luxury Air   
63,21Q,Corporate Flight Management Inc. (2014 - 2015),Corporate Flight Management Inc.   
64,22Q,Gem Air LLC (2015 - ),Gem Air LLC   
65,23Q,Sky King Inc. (2015 - 2015),Sky King Inc.   
66,23Q,Songbird Airways Inc. (2015 - ),Songbird Airways Inc.   
67,24Q,Blue Jet SP Z o o (2014 - ),Blue Jet SP Z o o   
68,25Q,Mjet GmbH (2015 - ),Mjet GmbH   
69,26Q,Albinati aviation Limited (2015 - ),Albinati aviation Limited   
70,27Q,"Jet Aviation Flight Services, Inc. (2015 - )","Jet Aviation Flight Services, Inc.   "
71,28Q,Menagerie Enterprises Inc d/b/a Monarch Air (2015 - ),Menagerie Enterprises Inc dba Monarch Air   
72,29Q,Erickson Helicopters (2015 - ),Erickson Helicopters   
73,2AQ,ABS JETS A.S (2010 - ),ABS JETS A.S   
74,2BQ,Air Medical Ltd. (2015 - ),Air Medical Ltd.   
75,2CQ,Altius Aviation LLC (2016 - ),Altius Aviation LLC   
76,2DQ,Aviation Partners of Boynton Beach LLC d/b/a Hummingbird Air (2015 - ),Aviation Partners of Boynton Beach LLC dba Hummingbird Air   
77,2E,Smokey Bay Air Inc. (2003 - ),Smokey Bay Air Inc.   
78,2EQ,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit (2015 - )","JM Alaska Air Tours, Inc. dba Alaska Air Transit   "
79,2F,Frontier Flying Service (2003 - ),Frontier Flying Service   
80,2GQ,Cavok Air LLC (2015 - ),Cavok Air LLC   
81,2HQ,Elite Airways LLC (2016 - ),Elite Airways LLC   
82,2JQ,Delux Public Charter LLC (2016 - ),Delux Public Charter LLC   
83,2K,Aerolineas Galapagos S A Aerogal (2007 - 2012),Aerolineas Galapagos S A Aerogal   
84,2KQ,Longtail Aviation Ltd. (2005 - ),Longtail Aviation Ltd.   
85,2LQ,Tropic Ocean Airways LLC (2016 - ),Tropic Ocean Airways LLC   
86,2M,Midway Express Airlines (1984 - 1985),Midway Express Airlines   
87,2NQ,LIMA NY Corp d/b/a Fly The Whale d/b/a Tailwind (2016 - ),LIMA NY Corp dba Fly The Whale dba Tailwind   
88,2O,Island Air Service (2007 - ),Island Air Service   
89,2OQ,Talofa Airways Limited (2016 - ),Talofa Airways Limited   
90,2P,"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines (2016 - )","Air Philippines Corp dba Airphil Express, Philippines Airlines   "
91,2PQ,21 Air LLC (2016 - ), Air LLC   
92,2R,Regal Air (1990 - 1992),Regal Air   
93,2RQ,Luxaviation S A (2015 - ),Luxaviation S A   
94,2T,Canada 3000 Airlines Ltd. (1997 - 2001),Canada  Airlines Ltd.   
95,2TQ,Trans Northern Airways d/b/a Air Unlimited Charter Services (2016 - ),Trans Northern Airways dba Air Unlimited Charter Services   
96,2U,Valley Air Express Inc. (2003 - 2005),Valley Air Express Inc.   
97,2UQ,Svenskt Industriflyg AB (2016 - ),Svenskt Industriflyg AB   
98,2Z,Air Comet S.A. (1997 - 2001),Air Comet S.A.   
99,3C,Corporate Airlines (2002 - 2004),Corporate Airlines   
100,3C,"Regions Air, Inc. (2005 - 2007)","Regions Air, Inc.   "
101,3F,"Pacific Airways, Inc. (2006 - )","Pacific Airways, Inc.   "
102,3K,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service (1995 - 2004),Tatonduk Outfitters Limited dba Tatonduk Flying Service   
103,3M,Gulfstream Int (2004 - 2011),Gulfstream Int   
104,3M,Silver Airways (2012 - ),Silver Airways   
105,3S,AeroLogic GmbH (2009 - ),AeroLogic GmbH   
106,3SD,Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane (2014 - ),Compagnie Aerienne Inter Regionale Express dba Air Antilles Express  Air Guyane   
107,3U,Sichuan Airlines Co Ltd. (2011 - ),Sichuan Airlines Co Ltd.   
108,3Z,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo (2005 - 2013),Tatonduk Outfitters Limited dba Everts Air Alaska and Everts Air Cargo   
109,4B,Olson Air Service (2003 - 2005),Olson Air Service   
110,4B,Boutique Air (2014 - ),Boutique Air   
111,4C,Aerovias de Intergracian Regional (2009 - ),Aerovias de Intergracian Regional   
112,4E,British Airtours Limited (1981 - 1988),British Airtours Limited   
113,4E,Tanana Air Service (2003 - 2014),Tanana Air Service   
114,4EQ,Tanana Air Service (2015 - ),Tanana Air Service   
115,4H,Belize Trans Air (1990 - 1991),Belize Trans Air   
116,4M,Lan Dominica (2003 - 2005),Lan Dominica   
117,4M,LAN Argentina (2006 - ),LAN Argentina   
118,4N,Air North (1992 - ),Air North   
119,4O,ABC Aerolineas SA de CV dba Interjet (2011 - ),ABC Aerolineas SA de CV dba Interjet   
120,4R,Regent Air Corporation (1985 - 1986),Regent Air Corporation   
121,4S,Conner Air Lines Inc. (1989 - 1991),Conner Air Lines Inc.   
122,4S,Sol Air (Aero Hunduras) (2002 - ),Sol Air Aero Hunduras   
123,4T,Belair Airlines Ltd. (2004 - ),Belair Airlines Ltd.   
124,4W,Warbelow (2003 - ),Warbelow   
125,4Y,Yute Air Aka Flight Alaska (2003 - ),Yute Air Aka Flight Alaska   
126,5B,Bellair Inc. (1983 - 2004),Bellair Inc.   
127,5C,C.A.L Cargo Airlines (2000 - ),C.A.L Cargo Airlines   
128,5D,Aerolitoral (2002 - ),Aerolitoral   
129,5F,Arctic Circle Air Service (2003 - 2010),Arctic Circle Air Service   
130,5G,Queen Air (1998 - 2000),Queen Air   
131,5G,"Skyservice Airlines, Inc. (2007 - 2010)","Skyservice Airlines, Inc.   "
132,5J,Cebu Air Inc d/b/a Cebu Pacific Air (2016 - ),Cebu Air Inc dba Cebu Pacific Air   
133,5J,Private Jet Expeditions (1993 - 1995),Private Jet Expeditions   
134,5L,Aerosur (2008 - ),Aerosur   
135,5T,Air America (1984 - 1987),Air America   
136,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo (2013 - ),Tatonduk Outfitters Limited dba Everts Air Alaska and Everts Air Cargo   
137,5X,United Parcel Service (1988 - ),United Parcel Service   
138,5Y,Atlas Air Inc. (1993 - ),Atlas Air Inc.   
139,6A,Aviacsa Airlines (1998 - ),Aviacsa Airlines   
140,6B,TUIfly Nordic A.B. (2008 - ),TUIfly Nordic A.B.   
141,6B,Britannia Airways A.B. (1999 - 2008),Britannia Airways A.B.   
142,6C,Cape Smythe Air Service (2003 - 2005),Cape Smythe Air Service   
143,6F,Laker Airways Inc. (1996 - 2000),Laker Airways Inc.   
144,6H,Israir Airlines (2004 - ),Israir Airlines   
145,6P,Pacific East Air Inc. (1982 - 1984),Pacific East Air Inc.   
146,6R,Aerounion Aerotransporte de Carga Union SA de CV (2007 - ),Aerounion Aerotransporte de Carga Union SA de CV   
147,6R,Aerounion ( Aerotransporte de Carga Union SA de CV (2004 - 2007),Aerounion  Aerotransporte de Carga Union SA de CV   
148,6U,Air Ukraine (1993 - ),Air Ukraine   
149,6Y,Nicaraguense De Aviacion Sa (1992 - ),Nicaraguense De Aviacion Sa   
150,7B,Krasair (1995 - ),Krasair   
151,7C,Jeju Air Co Ltd. (2012 - ),Jeju Air Co Ltd.   
152,7F,First Air (1987 - 1989),First Air   
153,7G,MK Airlines Ltd. (2001 - 2010),MK Airlines Ltd.   
154,7G,Bellair Inc. (2003 - 2004),Bellair Inc.   
155,7H,Era Aviation (2003 - ),Era Aviation   
156,7I,Insel Air International B V (2008 - ),Insel Air International B V   
157,7J,Skagway Air Service (2003 - 2004),Skagway Air Service   
158,7L,Silk Way West Airlines (2015 - ),Silk Way West Airlines   
159,7M,Aeromonterrey S.A. (1993 - 1994),Aeromonterrey S.A.   
160,7N,Inland Aviation Services (2003 - 2011),Inland Aviation Services   
161,7P,Apa International Air S.A. (1990 - ),Apa International Air S.A.   
162,7Q,Pan American World Airways Dominicana (2008 - 2010),Pan American World Airways Dominicana   
163,7S,Skystar International Inc. (1985 - 1987),Skystar International Inc.   
164,7S,Arctic Transportation (2003 - ),Arctic Transportation   
165,7Z,Laker Airways (1992 - 1997),Laker Airways   
166,7Z,Lb Limited (1997 - 2004),Lb Limited   
167,8C,Air Transport International (1988 - ),Air Transport International   
168,8D,Servant Air Inc. (2003 - 2015),Servant Air Inc.   
169,8D,"Dynamic Aviation, Inc. d/b/a Beacon (2016 - )","Dynamic Aviation, Inc. dba Beacon   "
170,8E,Bering Air Inc. (2003 - ),Bering Air Inc.   
171,8F,Wilburs Inc. (1991 - 1992),Wilburs Inc.   
172,8I,Inselair Aruba NV (2014 - ),Inselair Aruba NV   
173,8J,Jetall Airways (1995 - 1996),Jetall Airways   
174,8L,Servicio Aereo Leo Lopez (1994 - ),Servicio Aereo Leo Lopez   
175,8N,Flagship Airlines Inc. (1998 - 1998),Flagship Airlines Inc.   
176,8Q,Baker Aviation Inc. (2003 - 2008),Baker Aviation Inc.   
177,8R,Edelweiss Air Ag (2002 - ),Edelweiss Air Ag   
178,8V,Wright Air Service (2003 - ),Wright Air Service   
179,9E,Pinnacle Airlines Inc. (2002 - 2013),Pinnacle Airlines Inc.   
180,9E,Endeavor Air Inc. (2013 - ),Endeavor Air Inc.   
181,9I,Island Air Service (2003 - 2005),Island Air Service   
182,9J,Pacific Island Aviation (2002 - 2005),Pacific Island Aviation   
183,9K,Cape Air (2002 - ),Cape Air   
184,9L,Colgan Air (2002 - 2012),Colgan Air   
185,9M,Central Mountain Air (2002 - ),Central Mountain Air   
186,9N,Trans States Airlines (1991 - 2002),Trans States Airlines   
187,9N,ANA & JP Express Co. Ltd. (2006 - ),ANA  JP Express Co. Ltd.   
188,9R,Rosenbalm Aviation Inc. (1980 - 1991),Rosenbalm Aviation Inc.   
189,9R,Flagship Express Services (1991 - 1991),Flagship Express Services   
190,9S,Southern Air Inc. (1999 - ),Southern Air Inc.   
191,9T,"TravelspanGT, Inc. S.A. (2006 - )","TravelspanGT, Inc. S.A.   "
192,9V,"Avior Airlines, C.A. (2007 - )","Avior Airlines, C.A.   "
193,9W,Jet Airways (India) Limited (2007 - ),Jet Airways India Limited   
194,A0,Elysair d/b/a L'Avion (2007 - ),Elysair dba LAvion   
195,A2,Cielos De Peru (2002 - 2012),Cielos De Peru   
196,A4,Southern Wind Airlines (2002 - ),Southern Wind Airlines   
197,A7,Air Comet S.A. (2002 - 2009),Air Comet S.A.   
198,A7,Air 21 (1995 - 1997),Air    
199,AA,American Airlines Inc. (1960 - ),American Airlines Inc.   
200,AAA,Associated Aviation Act. (1960 - 2002),Associated Aviation Act.   
201,AAB,Abelag Aviation AG (2016 - ),Abelag Aviation AG   
202,AAB,Antilles Air Boats Inc. (1960 - 2002),Antilles Air Boats Inc.   
203,AAE,AAA Airlines (1960 - 2002),AAA Airlines   
204,AAI,Audi Air Inc. (1983 - 1989),Audi Air Inc.   
205,AAL,Argosy Air Lines Inc. (1960 - 2002),Argosy Air Lines Inc.   
206,AAP,Armstrong Air Service Inc. (1985 - 1989),Armstrong Air Service Inc.   
207,AAQ,Advance Air Charters (1994 - 1995),Advance Air Charters   
208,AAR,Altair Airlines Inc. (1960 - 1986),Altair Airlines Inc.   
209,AAT,Air Sunshine Inc. (1983 - ),Air Sunshine Inc.   
210,AAV,Alpine Air (1984 - 2002),Alpine Air   
211,AAZ,Alaska Aeronautical Indust. (1960 - 1987),Alaska Aeronautical Indust.   
212,AB,Air Berlin PLC and CO (2009 - ),Air Berlin PLC and CO   
213,ABH,Air Bahia (1960 - 2002),Air Bahia   
214,ABI,Airbama Incorporated (1960 - 2002),Airbama Incorporated   
215,ABO,Aeronaves Boringuena Inc. (1960 - 2002),Aeronaves Boringuena Inc.   
216,ABQ,Aeromar C. Por A. (1981 - 1993),Aeromar C. Por A.   
217,ABX,Airborne Express Inc. (2004 - 2005),Airborne Express Inc.   
218,ABX,ABX Air Inc (2005 - ),ABX Air Inc   
219,AC,Air Canada (1981 - ),Air Canada   
220,ACA,Alaska Central Airways Inc. (1960 - 2002),Alaska Central Airways Inc.   
221,ACD,Academy Airlines (1981 - 1986),Academy Airlines   
222,ACG,Air Cargo Express Inc. (1960 - 2001),Air Cargo Express Inc.   
223,ACH,Island Airlines Hawaii Inc. (1960 - 2002),Island Airlines Hawaii Inc.   
224,ACI,AAA-Action Air Carrier Inc. (1960 - 2002),AAAAction Air Carrier Inc.   
225,ACJ,Atlantic Coast Jet Inc. (2000 - 2004),Atlantic Coast Jet Inc.   
226,ACK,Air Central Inc. (1960 - 2002),Air Central Inc.   
227,ACL,Check-Air Inc. (1981 - 1986),CheckAir Inc.   
228,ACN,Alliance Airlines (1985 - 2002),Alliance Airlines   
229,ACO,Air Cargo Enterprises Inc. (1960 - 2002),Air Cargo Enterprises Inc.   
230,ACP,Air Chaparral Inc. (1960 - 2002),Air Chaparral Inc.   
231,ACQ,Aeronautica De Cancun (1990 - 1996),Aeronautica De Cancun   
232,ACS,Alamo Commuter Airlines (1960 - 2002),Alamo Commuter Airlines   
233,ACT,Air Central Inc. (1960 - 2002),Air Central Inc.   
234,ACW,Transwest Air Express (1981 - 1986),Transwest Air Express   
235,AD,Avia Leasing Company (2001 - 2014),Avia Leasing Company   
236,AD,Azul Linhas Aereas Brazileiras S A (2014 - ),Azul Linhas Aereas Brazileiras S A   
237,ADB,Antonov Company (2010 - ),Antonov Company   
238,ADQ,Aeronaves Del Peru (1981 - 1994),Aeronaves Del Peru   
239,ADR,Adirondack Airlines (1990 - 2002),Adirondack Airlines   
240,ADV,Advantage Airlines (1992 - 2002),Advantage Airlines   
241,AE,Air Europe Limited (1981 - 1991),Air Europe Limited   
242,AEC,Astec Air East Inc. (1960 - 2002),Astec Air East Inc.   
243,AED,Air East Of Delaware Inc. (1981 - 2002),Air East Of Delaware Inc.   
244,AEF,Aero Freight (1989 - 2002),Aero Freight   
245,AEO,Aero Coach (1986 - 2002),Aero Coach   
246,AEQ,Air Caravane Inc. (1981 - 1989),Air Caravane Inc.   
247,AEX,Air Excursions LLC (2001 - 2003),Air Excursions LLC   
248,AF,Compagnie Natl Air France (1981 - ),Compagnie Natl Air France   
249,AFA,American Flag Airlines Inc. (1960 - 2002),American Flag Airlines Inc.   
250,AFE,Air Florida Express (1993 - 2002),Air Florida Express   
251,AFG,American Flight Group (1993 - 2002),American Flight Group   
252,AFQ,Aero B Venezuela C.A. (1982 - 1989),Aero B Venezuela C.A.   
253,AFS,Arcata Flying Service (1983 - 2002),Arcata Flying Service   
254,AGA,Air Cargo America Inc. (1960 - 2002),Air Cargo America Inc.   
255,AGL,Atlantic Gulf Airlines (1983 - 1984),Atlantic Gulf Airlines   
256,AGQ,Argo S. A. (1981 - 1989),Argo S. A.   
257,AHA,Air Alpha (1992 - 2002),Air Alpha   
258,AHC,Air Hawaii (1960 - 1987),Air Hawaii   
259,AHQ,Air National (1983 - 1984),Air National   
260,AI,Air-India (1981 - 2011),AirIndia   
261,AI,National Aviation Company of India Limited d/b/a Air India (2011 - ),National Aviation Company of India Limited dba Air India   
262,AIA,All Island Air (1960 - 2002),All Island Air   
263,AIC,Air Caribbean (1960 - 2002),Air Caribbean   
264,AIE,Air Express Inc. (1960 - 2002),Air Express Inc.   
265,AIG,Airgo Inc. (1981 - 1986),Airgo Inc.   
266,AIK,Air Ketchum Idaho Inc. (1999 - 2002),Air Ketchum Idaho Inc.   
267,AIM,Air Mont. Inc. (1960 - 2002),Air Mont. Inc.   
268,AIN,Air Indiana (1960 - 2002),Air Indiana   
269,AIQ,Norontair (1981 - 1989),Norontair   
270,AIT,Airways International (1986 - 2002),Airways International   
271,AIY,Alliance Air (1992 - 2002),Alliance Air   
272,AJ,Air Micronesia Inc. (1960 - 1993),Air Micronesia Inc.   
273,AJQ,Aerodynamics Inc. (2003 - 2016),Aerodynamics Inc.   
274,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways (2016 - ),Aerodynamics Inc. dba SkyValue dba SkyValue Airways   
275,AKQ,Airmark Airlines Inc. (1992 - 1993),Airmark Airlines Inc.   
276,AKS,Alaska Seaplane Service (1997 - 2003),Alaska Seaplane Service   
277,AL,USAir (1979 - 1988),USAir   
278,AL,Skyway Airlines (2003 - 2008),Skyway Airlines   
279,ALD,Allied Airlines (1991 - 2002),Allied Airlines   
280,ALE,Air-Lift Associates Inc. (1960 - 2002),AirLift Associates Inc.   
281,ALI,Brandt Air (1960 - 2002),Brandt Air   
282,ALK,Air Link Airways (1986 - 2002),Air Link Airways   
283,ALL,All Seasons Air Pacific (1960 - 2002),All Seasons Air Pacific   
284,ALQ,Alberta Northern Airlines (1981 - 1989),Alberta Northern Airlines   
285,ALS,Air L.A. (1986 - 1996),Air L.A.   
286,ALT,Altus Airlines (1981 - 2002),Altus Airlines   
287,ALU,Aleutian Air (1988 - 2002),Aleutian Air   
288,ALX,Atlanta Express (1981 - 2002),Atlanta Express   
289,AM,Aeromexico (1981 - ),Aeromexico   
290,AMA,North American Airlines Inc. (1960 - 2002),North American Airlines Inc.   
291,AME,Americair Inc. (1984 - 2002),Americair Inc.   
292,AMI,American Inter-Island Inc. (1960 - 2002),American InterIsland Inc.   
293,AMQ,Ameristar Air Cargo (2000 - ),Ameristar Air Cargo   
294,AMR,AvAir (1985 - 1988),AvAir   
295,AMT,American Air Transport (1981 - 1986),American Air Transport   
296,AMW,Air Midwest Inc. (1985 - 2002),Air Midwest Inc.   
297,ANB,Air Nebraska Inc. (1960 - 2002),Air Nebraska Inc.   
298,ANC,Atlantic Air (1981 - 2002),Atlantic Air   
299,AND,Southcentral Air Inc. (1960 - 2000),Southcentral Air Inc.   
300,ANE,Pacific Wings Airlines (1960 - 2005),Pacific Wings Airlines   
301,ANI,Dash Air Corporation (1982 - 2002),Dash Air Corporation   
302,ANM,Airways Of New Mexico Inc. (1960 - 2002),Airways Of New Mexico Inc.   
303,ANO,Metro Air Northeast Vermont (1960 - 2002),Metro Air Northeast Vermont   
304,ANT,Air North/Nenana (1960 - 2002),Air NorthNenana   
305,AO,Aviacion Y Comercio S.A. (1981 - 1989),Aviacion Y Comercio S.A.   
306,AOI,Trans New York (1960 - 2002),Trans New York   
307,AON,Action Airlines (1985 - 2002),Action Airlines   
308,AOQ,Aerovias S.A. (1989 - 1994),Aerovias S.A.   
309,AOR,Air New Orleans (1981 - 2002),Air New Orleans   
310,AP,Aspen Airways Inc. (1960 - 1991),Aspen Airways Inc.   
311,AP,Aeromexpress (1994 - 1995),Aeromexpress   
312,APC,Air Puerto Rico Airlines (1986 - 1986),Air Puerto Rico Airlines   
313,APE,Air Cape (1987 - 2002),Air Cape   
314,APH,Alpha Air (1985 - 2002),Alpha Air   
315,API,Arizona Pacific Inc. (1960 - 2002),Arizona Pacific Inc.   
316,APL,Appalachian Flying Service (1960 - 2002),Appalachian Flying Service   
317,APN,Aspen Airways Inc. (1991 - 2002),Aspen Airways Inc.   
318,APQ,Alas De Transporte International (1989 - 1996),Alas De Transporte International   
319,APS,Air Spirit Inc. (1984 - 2002),Air Spirit Inc.   
320,APY,Air Polynesia Inc. (1960 - 2002),Air Polynesia Inc.   
321,AQ,Aloha Airlines Inc. (1981 - 2008),Aloha Airlines Inc.   
322,AQQ,Air Charter (Safa) (1985 - ),Air Charter Safa   
323,AR,Aerolineas Argentinas (1981 - ),Aerolineas Argentinas   
324,ARA,Air Resorts Airlines (1982 - 2002),Air Resorts Airlines   
325,ARB,Air Caribe International (1987 - 2002),Air Caribe International   
326,ARD,Airlift International (1988 - 2002),Airlift International   
327,ARI,Arizona Aero Corp. (1960 - 2002),Arizona Aero Corp.   
328,ARM,Airmarc Airlines Inc. (1983 - 2002),Airmarc Airlines Inc.   
329,ARN,Arnold Aviation (1960 - 2002),Arnold Aviation   
330,ARO,Air Oregon (1960 - 2002),Air Oregon   
331,ARP,Airspur Helicopters Inc. (1984 - 2002),Airspur Helicopters Inc.   
332,ARQ,Aerovias Colombianas Arca (1990 - 1996),Aerovias Colombianas Arca   
333,ARR,Arrowhead Airways Inc. (1960 - 2002),Arrowhead Airways Inc.   
334,ARS,Air Sedona (1983 - 2002),Air Sedona   
335,ARZ,Arizona Airways (1992 - 1996),Arizona Airways   
336,AS,Alaska Airlines Inc. (1960 - ),Alaska Airlines Inc.   
337,ASC,Air South Inc. (1991 - 1998),Air South Inc.   
338,ASD,Amistad Airlines (1960 - 2002),Amistad Airlines   
339,ASE,Arctic Circle Air Service (1985 - 2003),Arctic Circle Air Service   
340,ASH,Air South (1987 - 2002),Air South   
341,ASI,Alpine Air Services Inc. (1960 - 2002),Alpine Air Services Inc.   
342,ASN,Air Casino (1993 - 2002),Air Casino   
343,ASP,Asap Air Inc. (1960 - 2002),Asap Air Inc.   
344,ASQ,Aerosur (1990 - 1991),Aerosur   
345,ASR,Astor Air (1985 - 2002),Astor Air   
346,AST,Astro Airways (1960 - 2002),Astro Airways   
347,ASU,Air South (1981 - 2002),Air South   
348,ASW,Scenic Airlines (1990 - 2002),Scenic Airlines   
349,ASW,Sunrise Airlines Inc. (2002 - 2003),Sunrise Airlines Inc.   
350,AT,Royal Air Maroc (1981 - ),Royal Air Maroc   
351,ATA,Atlantic Southeast Airlines (1960 - 1993),Atlantic Southeast Airlines   
352,ATD,Atlantic Coast Airlines (1992 - 2002),Atlantic Coast Airlines   
353,ATH,Air Southeast (1990 - 2002),Air Southeast   
354,ATN,Air Atlantic Airlines Inc. (1960 - 2002),Air Atlantic Airlines Inc.   
355,ATO,Pacific National Airways (1960 - 2002),Pacific National Airways   
356,ATQ,Aero Tranportes Panamenos (1987 - 1989),Aero Tranportes Panamenos   
357,ATS,Atlantis Airlines Inc. (1960 - 2002),Atlantis Airlines Inc.   
358,ATT,Aerotransit Inc. (1960 - 2002),Aerotransit Inc.   
359,ATX,Air Carolina (1960 - 2002),Air Carolina   
360,AUQ,Antonov Design Bureau (1996 - 2010),Antonov Design Bureau   
361,AUX,Austin Express Inc. (1997 - 2002),Austin Express Inc.   
362,AV,Aerovias Nacl De Colombia (1981 - ),Aerovias Nacl De Colombia   
363,AVA,Air Vectors Airways (1960 - 2002),Air Vectors Airways   
364,AVC,Av Center Inc. (1998 - 2002),Av Center Inc.   
365,AVG,Airvantage (1991 - 2002),Airvantage   
366,AVI,Aero Virgin Islands Corp. (1960 - 2002),Aero Virgin Islands Corp.   
367,AVL,Aviation Sales (1993 - 2002),Aviation Sales   
368,AVQ,Aero Laguna S.A. De C.V. (2005 - ),Aero Laguna S.A. De C.V.   
369,AVR,Air Vermont Inc. (1981 - 2002),Air Vermont Inc.   
370,AVS,Aviation Services (1960 - 2002),Aviation Services   
